accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
5,2.0,2.0,1.0,4.91,North Queen Anne,Entire home/apt,standard,140.0
2,1.0,1.0,1.0,4.98,Eastlake,Entire home/apt,standard,122.0
4,1.0,2.0,1.0,4.87,Eastlake,Entire home/apt,standard,81.0
1,1.0,1.0,1.0,4.64,Harrison/Denny-Blaine,Entire home/apt,standard,524.0
3,0.0,1.0,1.0,4.88,Maple Leaf,Entire home/apt,standard,143.0
2,1.0,1.0,1.0,4.64,Phinney Ridge,Entire home/apt,standard,61.0
8,4.0,7.0,2.5,4.94,East Queen Anne,Entire home/apt,standard,659.0
2,1.0,1.0,1.0,4.84,North Beacon Hill,Entire home/apt,standard,121.0
4,1.0,2.0,1.0,4.87,Mount Baker,Entire home/apt,standard,109.0
4,1.0,1.0,1.0,4.85,Belltown,Entire home/apt,standard,162.0
1,1.0,1.0,1.0,4.83,Ravenna,Private room,private,60.0
5,2.0,2.0,2.5,4.8,Greenwood,Entire home/apt,standard,167.0
2,1.0,1.0,1.5,4.71,Atlantic,Private room,standard,53.0
2,1.0,2.0,1.5,4.82,Atlantic,Private room,shared,53.0
3,1.0,1.0,1.0,4.81,Highland Park,Entire home/apt,standard,68.0
2,1.0,1.0,1.0,4.92,West Woodland,Entire home/apt,standard,105.0
5,1.0,3.0,1.0,4.47,Greenwood,Private room,private,119.0
2,1.0,1.0,1.0,4.97,Broadway,Entire home/apt,standard,127.0
1,1.0,1.0,1.0,4.2,Laurelhurst,Private room,shared,45.0
2,1.0,1.0,1.0,4.89,North Admiral,Entire home/apt,standard,125.0
4,1.0,2.0,1.0,4.94,Broadway,Private room,standard,145.0
2,1.0,1.0,1.5,4.57,Haller Lake,Private room,standard,82.0
2,1.0,1.0,1.0,4.94,Whittier Heights,Entire home/apt,standard,94.0
2,1.0,1.0,1.0,4.83,Madison Park,Entire home/apt,standard,89.0
4,1.0,2.0,2.0,4.96,Fauntleroy,Entire home/apt,standard,222.0
2,1.0,1.0,1.5,4.87,Mount Baker,Entire home/apt,standard,121.0
2,1.0,1.0,1.0,4.8,Fremont,Private room,shared,78.0
3,1.0,3.0,1.0,4.88,West Queen Anne,Entire home/apt,standard,175.0
6,3.0,1.0,2.5,4.8,Wallingford,Entire home/apt,standard,385.0
2,1.0,1.0,1.0,4.74,Broadway,Entire home/apt,standard,80.0
3,1.0,1.0,1.0,4.03,University District,Entire home/apt,standard,101.0
2,1.0,1.0,1.0,4.79,Fremont,Private room,shared,80.0
7,3.0,4.0,1.5,4.95,University District,Entire home/apt,standard,300.0
6,2.0,5.0,2.0,4.73,First Hill,Entire home/apt,standard,185.0
5,2.0,3.0,1.0,4.77,First Hill,Entire home/apt,standard,173.0
2,1.0,1.0,1.0,4.9,Madrona,Entire home/apt,standard,75.0
4,2.0,3.0,1.0,4.83,Loyal Heights,Entire home/apt,standard,215.0
